necAccounts,nationalNetworkAccount,total
operatingSources,235715000,214968000
capitalSources,34171000,15447000
federalGrantsToAmtrak,9900000,121710000
totalOperatingAndCapitalSources,279787000,352125000
operatingUses,221369000,318372000
operatingSurplusOrDeficit,0,14346000
debtServicePayments,0,0
availableForCapitalUses,0,58418000
capitalExpenditures,164321000,130143000
legacyDebtAndRrifRepayments,14349000,305000
remainingCarryoverBalance,-120252000,-96695000
transfers,0,0
