necAccounts,nationalNetworkAccount,total
operatingSources,628059000,848215000
capitalSources,585631000,161575000
federalGrantsToAmtrak,2489546000,2561606000
totalOperatingAndCapitalSources,3703236000,3571396000
operatingUses,1023552000,1362701000
operatingSurplusOrDeficit,0,-395493000
debtServicePayments,0,0
availableForCapitalUses,0,2679684000
capitalExpenditures,1150017000,705282000
legacyDebtAndRrifRepayments,93469000,49126000
remainingCarryoverBalance,1436198000,1454288000
transfers,0,0
