necAccounts,nationalNetworkAccount,total
operatingSources,722931000,969239000
capitalSources,648078000,231266000
federalGrantsToAmtrak,2480533000,2538862000
totalOperatingAndCapitalSources,3851541000,3739366000
operatingUses,1128910000,1516198000
operatingSurplusOrDeficit,0,-405979000
debtServicePayments,0,0
availableForCapitalUses,0,2722631000
capitalExpenditures,1246508000,768247000
legacyDebtAndRrifRepayments,96193000,49356000
remainingCarryoverBalance,1379931000,1405565000
transfers,0,0
