necAccounts,nationalNetworkAccount,total
operatingSources,833271000,1099824000
capitalSources,674553000,207171000
federalGrantsToAmtrak,2500853000,2595079000
totalOperatingAndCapitalSources,4008677000,3902074000
operatingUses,1247131000,1715975000
operatingSurplusOrDeficit,0,-413861000
debtServicePayments,0,0
availableForCapitalUses,0,2761546000
capitalExpenditures,1338050000,869045000
legacyDebtAndRrifRepayments,168208000,49404000
remainingCarryoverBalance,1255288000,1267650000
transfers,0,0
