necAccounts,nationalNetworkAccount,total
operatingSources,530792000,731283000
capitalSources,314203000,131705000
federalGrantsToAmtrak,2473560000,2547313000
totalOperatingAndCapitalSources,3318554000,3410300000
operatingUses,903924000,1194391000
operatingSurplusOrDeficit,0,-373132000
debtServicePayments,0,0
availableForCapitalUses,0,2414631000
capitalExpenditures,739557000,621711000
legacyDebtRepayments,91710000,46707000
remainingCarryoverBalance,1583364000,1547491000
transfers,0,0
