priorYear,currentYearForecast,currentYearActual,growthInRiders,growthInPercent,actualVSForecastInRiders,actualVSForecastInPercent
northeastCorridor,5664000,1861000,2423000,-3241000,-57000,561000
stateSupported,7209000,2599000,3230000,-3979000,-55000,631000
longDistance,2182000,1035000,1350000,-832000,-38000,315000
totalRidership,15055000,5495000,7002000,-8053000,-53000,1507000
rasm,18470,14010,14810,-4000,-20000,800
casm,23620,27900,28090,4000,19000,-180
costRecoveryRatio,78200,50200,52700,,,2500
customerSatisfactionIndex,82000,81800,83300,,,1500
seatMiles,7721400,4837900,5560200,-2161000,-28000,722400
passengerMiles,2971500,1289000,1665300,-1306000,-44000,376300
trainMiles,24600,14400,16800,-8000,-32000,2400
