necAccounts,nationalNetworkAccount,total
operatingSources,741765000,760600000
capitalSources,222286000,85312000
federalGrantsToAmtrak,374974000,594118000
totalOperatingAndCapitalSources,1339024000,1440029000
operatingUses,826964000,1199830000
operatingSurplusOrDeficit,0,-85199000
debtServicePayments,0,0
availableForCapitalUses,0,512060000
capitalExpenditures,659281000,466740000
legacyDebtAndRrifRepayments,35469000,1086000
remainingCarryoverBalance,-182690000,-227626000
transfers,0,0
