necAccounts,nationalNetworkAccount,total
operatingSources,343805000,328881000
capitalSources,77805000,20432000
federalGrantsToAmtrak,23661000,190413000
totalOperatingAndCapitalSources,445271000,539727000
operatingUses,335493000,488306000
operatingSurplusOrDeficit,0,8312000
debtServicePayments,0,0
availableForCapitalUses,0,109778000
capitalExpenditures,261023000,198284000
legacyDebtAndRrifRepayments,19693000,701000
remainingCarryoverBalance,-170938000,-147564000
transfers,0,0
