necAccounts,nationalNetworkAccount,total
operatingSources,1022364000,1021020000
capitalSources,211468000,133136000
federalGrantsToAmtrak,447491000,714015000
totalOperatingAndCapitalSources,1681324000,1868171000
operatingUses,1127832000,1640032000
operatingSurplusOrDeficit,0,-105468000
debtServicePayments,0,0
availableForCapitalUses,0,553492000
capitalExpenditures,828703000,696751000
legacyDebtAndRrifRepayments,51449000,1182000
remainingCarryoverBalance,-326661000,-469795000
transfers,0,0
