necAccounts,nationalNetworkAccount,total
operatingSources,499173000,524175000
capitalSources,98630000,63009000
federalGrantsToAmtrak,50062000,347830000
totalOperatingAndCapitalSources,647865000,935014000
operatingUses,569085000,824998000
operatingSurplusOrDeficit,0,-69912000
debtServicePayments,0,0
availableForCapitalUses,0,78780000
capitalExpenditures,407127000,343993000
legacyDebtAndRrifRepayments,24064000,989000
remainingCarryoverBalance,-352411000,-234965000
transfers,0,0
