necAccounts,nationalNetworkAccount,total
operatingSources,613473000,643099000
capitalSources,175979000,70749000
federalGrantsToAmtrak,352953000,573350000
totalOperatingAndCapitalSources,1142405000,1287198000
operatingUses,699165000,1019909000
operatingSurplusOrDeficit,0,-85691000
debtServicePayments,0,0
availableForCapitalUses,0,443241000
capitalExpenditures,562244000,404872000
legacyDebtAndRrifRepayments,34902000,1037000
remainingCarryoverBalance,-153906000,-138620000
transfers,0,0
