necAccounts,nationalNetworkAccount,total
operatingSources,414186000,432963000
capitalSources,81045000,50081000
federalGrantsToAmtrak,32578000,275740000
totalOperatingAndCapitalSources,527809000,758785000
operatingUses,454548000,664502000
operatingSurplusOrDeficit,0,-40362000
debtServicePayments,0,0
availableForCapitalUses,0,73261000
capitalExpenditures,339745000,291540000
legacyDebtAndRrifRepayments,21514000,759000
remainingCarryoverBalance,-287998000,-198016000
transfers,0,0
