necAccounts,nationalNetworkAccount,total
operatingSources,113698000,108501000
capitalSources,14742000,8122000
federalGrantsToAmtrak,3375000,8232000
totalOperatingAndCapitalSources,131816000,124855000
operatingUses,106647000,154846000
operatingSurplusOrDeficit,0,7051000
debtServicePayments,0,0
availableForCapitalUses,0,25168000
capitalExpenditures,105218000,83964000
legacyDebtAndRrifRepayments,168208000,49404000
remainingCarryoverBalance,-248258000,-163360000
transfers,0,0
